,rr,Feed,x_Feed,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,__filter_mask_train,__filter_mask_inference,x0_lower,x0_upper,head_target,x31_upper,rr_lower,rr_upper,rr_delta_lower,rr_delta_upper
2025-07-16 12:32:00,2.689069052129679,1.0,0.42213817143717847,0.8000863315731886,0.7144208680032252,0.637369773567981,0.5722272342271739,0.5199856985118714,0.47985086425047113,0.4500399352522479,0.4284679820958367,0.4131741825704303,0.4025133818694023,0.39519683823356194,0.39025780007883015,0.3869905190602438,0.38488793329634,0.3835885592634714,0.382835394364852,0.3824460353129767,0.36269558749861325,0.33984384612268254,0.31404834138309257,0.28571922041762526,0.25552520443596466,0.22434951352448082,0.19319618662954796,0.16306542733499965,0.1348295773656568,0.10914117804116588,0.086391373176072,0.06671855833683679,0.05005299432963789,0.03617795679002881,0.024790727699061984,,,0.8,0.87,0.8,0.07,1,7,-0.2,0.2
2025-07-16 12:33:00,2.6798806355888836,1.0,0.42313181464399935,0.8001279604317785,0.7144943965515419,0.6375488863270428,0.5725571917251965,0.5204824361568496,0.48050884677939115,0.4508421251698803,0.4293937000061132,0.41420375048483465,0.4036301613705337,0.39638767718718104,0.39151269130492117,0.3883019529956069,0.38625018792264443,0.3849970453337751,0.3842861193114246,0.3839352307666397,0.3643600063166826,0.3416718460981187,0.31601320660840987,0.2877781492650393,0.25762130282818513,0.22641713390348114,0.19516875693691565,0.16488385747810716,0.13644902859329758,0.11053461471560684,0.08754955377567081,0.06764724255532532,0.050768700436566574,0.036703536341976886,0.02515160162763835,,,0.8,0.87,0.8,0.07,1,7,-0.2,0.2
2025-07-16 12:34:00,2.669374934555067,1.0,0.42382227007835,0.8002146124497176,0.7146215884978843,0.6377935237598901,0.5729644553085281,0.5210659588585513,0.481259886623952,0.4517404779135413,0.430415986522939,0.41532810381564667,0.40483811863658664,0.3976644437902533,0.39284667996824124,0.38968412942323155,0.387673473567498,0.38645585440845287,0.3857760232791073,0.3854527086814871,0.3660832690859183,0.34358907645563214,0.3180954750103058,0.28997830574149047,0.2598761803167436,0.22865341936997702,0.19731163996637954,0.16686639904653236,0.13821979829320208,0.11206182625992098,0.0888212448835421,0.06866831439432862,0.051556274350657634,0.03728204583691077,0.025548578350429944,,,0.8,0.87,0.8,0.07,1,7,-0.2,0.2
2025-07-16 12:35:00,2.6633131448094707,1.0,0.4242149702125801,0.8004239574579031,0.7149372197386519,0.6382566125205884,0.5735925512096742,0.5218554933588773,0.48219380375253645,0.4527959577964794,0.4315696751699318,0.416558613533761,0.4061266431676865,0.39899445509789383,0.39420343583693057,0.39105441386159856,0.38904571726726256,0.38782058456233,0.38712638613629063,0.3867848248790627,0.36766612662791476,0.34541248623857757,0.3201288331632128,0.292169750716522,0.262155415536284,0.23093851842045218,0.1995187297055173,0.1689201020049921,0.1400616552203347,0.11365495135737862,0.09015061277022574,0.0697375783608104,0.05238273521983649,0.03789125955282129,0.02596971909704377,,,0.8,0.87,0.8,0.07,1,7,-0.2,0.2
2025-07-16 12:36:00,2.64914449901904,1.0,0.4243372879325231,0.8006393111622933,0.71520422436658,0.6386547821167826,0.5741624271213677,0.5226020374756687,0.48309857976459847,0.45382977308204336,0.4327013878262814,0.41775967212697757,0.4073726607733429,0.4002652804967878,0.3954827343739664,0.3923292898409677,0.3903065594004208,0.38906106084461345,0.38834344766201695,0.38797850564163416,0.3691535566718032,0.3471864863812377,0.32216028707041683,0.2944058048649178,0.2645216478182893,0.2333455872165395,0.20187271336427828,0.171134086361534,0.14206575034420466,0.11540224778066793,0.09161834682063538,0.07092426160204233,0.05330288535717567,0.038569558121839,0.026435799571437973,,,0.8,0.87,0.8,0.07,1,7,-0.2,0.2
2025-07-16 12:37:00,2.630688483871579,1.0,0.4243832751167202,0.8007597953387163,0.7153199280868509,0.6388786265108666,0.5745590047816114,0.5231891706318125,0.4838614064008939,0.45473682406617577,0.43371659376278077,0.41884911760784116,0.4085073653527442,0.4014217334551748,0.39664249524214945,0.39347841637473563,0.39143518239617936,0.3901631388590154,0.3894165676100574,0.3890235470365708,0.3705359112937034,0.34890383665444136,0.32418646790795186,0.2966880268420849,0.2669818687024731,0.23588698464878274,0.20439056715490947,0.17352871224417163,0.1442542134298045,0.1173259919711401,0.09324553322061574,0.07224736951967435,0.05433333822424187,0.039331336417004766,0.026959548048307587,,,0.8,0.87,0.8,0.07,1,7,-0.2,0.2
2025-07-16 12:38:00,2.614168213245807,1.0,0.4247139490249373,0.8008006839702972,0.7153460014129336,0.6390031427180435,0.5748489144341609,0.5236651164510339,0.48451069424658594,0.45552914278732065,0.4346162439845013,0.4198222331618579,0.40952514205914003,0.402461248821389,0.39768637944901924,0.394514139783308,0.39245433065150664,0.3911607934735407,0.3903907719537134,0.389974784067938,0.37183517520956716,0.35055603074991726,0.3261724316756821,0.29896042739942263,0.2694652987585294,0.23848357350526117,0.20699079338542709,0.1760251476989589,0.1465546746688935,0.11936280702691428,0.09497920932119473,0.0736649586676278,0.05544321531949516,0.04015651934360707,0.02753127963613849,,,0.8,0.87,0.8,0.07,1,7,-0.2,0.2
2025-07-16 12:39:00,2.5975150929839512,1.0,0.4250085629182388,0.8007607714735044,0.7152649160418776,0.6390041869535171,0.5750076495972484,0.5240083919720004,0.4850298043274985,0.4561963524147439,0.43539795925641495,0.42068703786824585,0.4104476094641383,0.4034230538046743,0.39867590817061244,0.39552531284918513,0.39348503800753026,0.39221120635738577,0.3914617966248391,0.39106688937118966,0.37324218303127116,0.3522889669613407,0.3282210467962485,0.3012874748348294,0.272004658398982,0.2411440663001974,0.2096658898231082,0.1786066262547558,0.14894661790937722,0.12149225272594973,0.09680123907075572,0.0751621121541478,0.05662080379730282,0.0410360127495855,0.028143660989999732,,,0.8,0.87,0.8,0.07,1,7,-0.2,0.2
2025-07-16 12:40:00,2.5797736636085435,1.0,0.42479270892175675,0.8006153136180449,0.715040366133294,0.6388436937931287,0.5750034382844497,0.5241991183641419,0.48541402750950857,0.45675027733553336,0.4360897889103903,0.4214857304521554,0.41132693341173265,0.4043626603156411,0.3996608738871767,0.39654509012138045,0.39453232149111916,0.39328094898535854,0.3925504505635164,0.3921718690145333,0.374679881269266,0.35407006544376673,0.3303342717598588,0.30369409989604607,0.27463667471495745,0.24390785091388562,0.21245172255262443,0.18130228727172584,0.15145163345107254,0.12372905185761571,0.09872082295499554,0.07674393305609407,0.05786828404072766,0.0419698990375126,0.028795169011135865,,,0.8,0.87,0.8,0.07,1,7,-0.2,0.2
2025-07-16 12:41:00,2.56823289989393,1.0,0.42421055542617536,0.8004641843676341,0.714853879176741,0.638735239301582,0.5750469750128249,0.5244256344705782,0.4858212913646308,0.45731653044011505,0.4367850506369487,0.4222787182977761,0.4121882242169836,0.40526554913131774,0.40058128327135545,0.39746146524639103,0.3954259736104143,0.39413687208462606,0.3933582756536448,0.39292648536801605,0.3758243342968152,0.3556160129058711,0.3322677237870325,0.3059707961213039,0.27718135749301265,0.2466189373947173,0.2152115776798849,0.18399133172382995,0.1539629327570364,0.12597973960056413,0.10065793892316902,0.07834433405423148,0.05913405307374532,0.042921460168034074,0.029464141918605153,,,0.8,0.87,0.8,0.07,1,7,-0.2,0.2
