episode_reward_mean,episode_len_mean,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,info/weights_norm,info/weights_std,info/grad_norm,info/update_ratio,info/episodes_this_iter,info/episodes_so_far,perf/cpu_util_percent,perf/ram_util_percent
6646.4663,101.0,3232,False,51712,,16,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-23-05,1760102585,16.621787548065186,301.10581374168396,248636,DESKTOP-8TJQ7GE,127.0.0.1,301.10581374168396,51712,16,525.408,0.08867271,9198.61,0.041871388,32,512,7.217391304347825,32.604347826086965
6646.4663,nan,3232,False,54944,,17,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-23-21,1760102601,16.86264395713806,317.968457698822,248636,DESKTOP-8TJQ7GE,127.0.0.1,317.968457698822,54944,17,526.47943,0.08876312,9338.599,0.042159207,32,544,8.970833333333333,32.61666666666667
6646.4663,nan,3135,False,58079,,18,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-23-43,1760102623,21.517444372177124,339.48590207099915,248636,DESKTOP-8TJQ7GE,127.0.0.1,339.48590207099915,58079,18,527.4015,0.088840924,8183.2256,0.039425004,32,576,7.793333333333333,32.59666666666667
6206.2373,101.0,3232,False,61311,,19,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-24-03,1760102643,19.92659592628479,359.41249799728394,248636,DESKTOP-8TJQ7GE,127.0.0.1,359.41249799728394,61311,19,528.0129,0.0888925,6496.4814,0.03509687,32,608,7.010714285714286,32.60000000000001
5876.2554,101.0,3232,False,64543,,20,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-24-24,1760102664,20.75085473060608,380.16335272789,248636,DESKTOP-8TJQ7GE,127.0.0.1,380.16335272789,64543,20,528.7479,0.08895457,5748.471,0.032995436,32,640,7.8133333333333335,32.57666666666667
5876.2554,nan,3232,False,67775,,21,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-24-44,1760102684,20.450541257858276,400.6138939857483,248636,DESKTOP-8TJQ7GE,127.0.0.1,400.6138939857483,67775,21,529.68866,0.08903371,6893.6235,0.036107674,32,672,6.689655172413793,32.5896551724138
5814.029,101.0,3232,False,71007,,22,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-25-06,1760102706,22.24445390701294,422.85834789276123,248636,DESKTOP-8TJQ7GE,127.0.0.1,422.85834789276123,71007,22,530.5433,0.08910544,8582.266,0.0402523,32,704,7.4,32.10967741935484
5814.029,nan,3232,False,74239,,23,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-25-28,1760102728,21.66215181350708,444.5204997062683,248636,DESKTOP-8TJQ7GE,127.0.0.1,444.5204997062683,74239,23,531.4937,0.08918517,7438.3945,0.03744373,32,736,7.046666666666666,31.476666666666667
5814.029,nan,3232,False,77471,,24,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-25-48,1760102748,20.314899444580078,464.8353991508484,248636,DESKTOP-8TJQ7GE,127.0.0.1,464.8353991508484,77471,24,532.19995,0.08924436,9083.846,0.04134146,32,768,7.406896551724138,31.49310344827586
5814.029,nan,3232,False,80703,,25,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-26-08,1760102768,19.428608417510986,484.2640075683594,248636,DESKTOP-8TJQ7GE,127.0.0.1,484.2640075683594,80703,25,532.8477,0.0892987,6668.7563,0.035398506,32,800,6.774074074074075,31.47407407407407
5826.054,101.0,3132,False,83835,,26,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-26-25,1760102785,17.49526572227478,501.75927329063416,248636,DESKTOP-8TJQ7GE,127.0.0.1,501.75927329063416,83835,26,533.82166,0.08938032,8774.771,0.0405804,32,832,7.855999999999999,31.456000000000003
5826.054,nan,3232,False,87067,,27,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-26-43,1760102803,17.38399910926819,519.1432723999023,248636,DESKTOP-8TJQ7GE,127.0.0.1,519.1432723999023,87067,27,534.7819,0.08946078,9244.922,0.041615356,32,864,6.944000000000001,31.464000000000002
5826.054,nan,3232,False,90299,,28,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-27-01,1760102821,18.43766498565674,537.5809373855591,248636,DESKTOP-8TJQ7GE,127.0.0.1,537.5809373855591,90299,28,535.6284,0.08953166,9354.786,0.041824292,32,896,6.769230769230769,31.365384615384617
6427.027,101.0,3232,False,93531,,29,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-27-17,1760102837,16.288011074066162,553.8689484596252,248636,DESKTOP-8TJQ7GE,127.0.0.1,553.8689484596252,93531,29,536.51294,0.08960551,8070.416,0.03881648,32,928,7.647826086956523,31.391304347826082
6522.4985,101.0,3232,False,96763,,30,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-27-36,1760102856,18.982216119766235,572.8511645793915,248636,DESKTOP-8TJQ7GE,127.0.0.1,572.8511645793915,96763,30,537.3362,0.08967423,8100.457,0.03885659,32,960,6.725925925925925,31.388888888888886
6522.4985,nan,3156,False,99919,,31,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-27-54,1760102874,17.710530519485474,590.561695098877,248636,DESKTOP-8TJQ7GE,127.0.0.1,590.561695098877,99919,31,538.2045,0.08974648,8853.359,0.040591113,32,992,7.367999999999999,31.412
8971.928,101.0,3232,False,103151,,32,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-28-12,1760102892,17.71336841583252,608.2750635147095,248636,DESKTOP-8TJQ7GE,127.0.0.1,608.2750635147095,103151,32,539.2882,0.08983672,8527.163,0.039804183,32,1024,6.664,31.359999999999996
7140.4385,101.0,3232,False,106383,,33,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-28-29,1760102909,17.284876108169556,625.559939622879,248636,DESKTOP-8TJQ7GE,127.0.0.1,625.559939622879,106383,33,540.1927,0.0899121,9744.613,0.042508118,32,1056,6.233333333333334,31.287499999999998
7140.4385,nan,3232,False,109615,,34,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-28-45,1760102925,16.0701642036438,641.6301038265228,248636,DESKTOP-8TJQ7GE,127.0.0.1,641.6301038265228,109615,34,541.116,0.08998899,8535.805,0.039750982,32,1088,6.178260869565217,31.29999999999999
7119.1587,101.0,3232,False,112847,,35,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-29-02,1760102942,17.014221668243408,658.6443254947662,248636,DESKTOP-8TJQ7GE,127.0.0.1,658.6443254947662,112847,35,541.6033,0.09002957,5850.7227,0.0328821,32,1120,6.729166666666667,31.27916666666667
7119.1587,nan,3232,False,116079,,36,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-29-18,1760102958,15.5885329246521,674.2328584194183,248636,DESKTOP-8TJQ7GE,127.0.0.1,674.2328584194183,116079,36,542.15076,0.09007508,6465.8438,0.034551896,32,1152,6.5636363636363635,31.295454545454536
7097.0273,101.0,3232,False,119311,,37,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-29-35,1760102975,16.794317722320557,691.0271761417389,248636,DESKTOP-8TJQ7GE,127.0.0.1,691.0271761417389,119311,37,542.7135,0.09012177,6803.5605,0.03542486,32,1184,6.216666666666666,31.287499999999998
7138.5757,101.0,3232,False,122543,,38,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-29-52,1760102992,17.674087524414062,708.701263666153,248636,DESKTOP-8TJQ7GE,127.0.0.1,708.701263666153,122543,38,543.5958,0.09019495,9329.464,0.041461308,32,1216,6.475999999999999,31.3
7138.5757,nan,3232,False,125775,,39,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-30-09,1760103009,16.333775758743286,725.0350394248962,248636,DESKTOP-8TJQ7GE,127.0.0.1,725.0350394248962,125775,39,544.57544,0.09027617,8650.409,0.039891485,32,1248,6.226086956521739,31.27391304347827
7087.943,101.0,3232,False,129007,,40,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-30-24,1760103024,15.439042091369629,740.4740815162659,248636,DESKTOP-8TJQ7GE,127.0.0.1,740.4740815162659,129007,40,545.2854,0.09033494,9155.677,0.041003052,32,1280,6.736363636363635,31.29999999999999
7087.943,nan,3232,False,132239,,41,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-30-41,1760103041,16.2909893989563,756.7650709152222,248636,DESKTOP-8TJQ7GE,127.0.0.1,756.7650709152222,132239,41,546.07117,0.09040014,8779.541,0.04012583,32,1312,7.0652173913043494,31.278260869565223
7087.943,nan,3232,False,135471,,42,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-30-57,1760103057,16.16098427772522,772.9260551929474,248636,DESKTOP-8TJQ7GE,127.0.0.1,772.9260551929474,135471,42,546.858,0.09046522,7187.0396,0.03627859,32,1344,6.960869565217393,31.29999999999999
7584.343,101.0,3232,False,138703,,43,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-31-12,1760103072,14.92997932434082,787.8560345172882,248636,DESKTOP-8TJQ7GE,127.0.0.1,787.8560345172882,138703,43,547.06836,0.090482734,3700.3376,0.02601258,32,1376,6.690476190476191,31.28571428571428
7584.343,nan,3232,False,141935,,44,88ea5_00000,11cec984e8394debaf02fff4337e9eb9,2025-10-10_16-31-29,1760103089,17.421937227249146,805.2779717445374,248636,DESKTOP-8TJQ7GE,127.0.0.1,805.2779717445374,141935,44,548.0826,0.09056647,9262.054,0.0411465,32,1408,7.3875,31.30416666666667
