1,357,-1324.9345918043691
2,714,-2233.877110488426
3,1071,-303.13980184105174
4,1428,-128.5581548906922
5,1785,-712.1410395645665
6,2142,-358.24907574996274
7,2499,-28.762151432366494
8,2856,-17.1483566548416
9,3213,-1067.6704857110526
10,3570,-1283.9182156018162
11,3927,-1045.2752415359066
12,4284,-1054.5579275877944
13,4641,-1557.5083470975205
14,4998,-1423.792166497017
15,5355,-1033.522128567311
16,5712,-1029.086412769627
17,6069,-1209.5728870413172
18,6426,-1010.4665673148465
19,6783,-1045.8416724450003
20,7140,-1035.153846825236
21,7497,-1163.2148295704737
22,7854,-1205.5975780709155
23,8211,-1036.3030905399614
24,8568,-1030.7252749873144
25,8925,-1146.1427428145598
26,9282,-1031.2386134503024
27,9639,-1363.5565227393201
28,9996,-1046.1699593737576
29,10353,-1063.214287786413
30,10710,-1141.5889737833622
31,11067,-1040.0361938861195
32,11424,-1015.3106174282839
33,11781,-1007.9378053405438
34,12138,-1092.189211817486
35,12495,-1391.5048764901571
36,12852,-1027.8459077604143
37,13209,-1015.7042155527752
38,13566,-1026.214684455504
39,13923,-1252.9914534146637
40,14280,-1053.0676084428042
41,14637,-1020.6696468800889
42,14994,-1396.6398484703902
43,15351,-1126.350971444771
44,15708,-1025.5863616512033
45,16065,-1029.9899309105292
46,16422,-1021.6774708430042
47,16779,-1040.87601676018
48,17136,-1166.7538270025493
49,17493,-1051.6353413908107
50,17850,-1470.3599687838537
51,18207,-1059.3517835459272
52,18564,-1177.4887823258875
53,18921,-1148.847686274342
54,19278,-1309.3959607542135
55,19635,-1443.266204771447
56,19992,-1156.2642862725231
57,20349,-1069.2704324387946
58,20706,-1037.6678459451032
59,21063,-1044.684917706572
60,21420,-1057.966047839288
61,21777,-1019.669268993551
62,22134,-1083.263154964559
63,22491,-1024.691281361234
64,22848,-1102.5689891905477
65,23205,-1058.3858139192685
66,23562,-1499.5689714784326
67,23919,-1015.2446690804666
68,24276,-1071.523913514939
69,24633,-1005.2838155753058
70,24990,-1183.462158333427
71,25347,-1135.0198831847633
72,25704,-1290.5724200790132
73,26061,-1024.9647530011812
74,26418,-1052.454904056562
75,26775,-1183.0363535209194
76,27132,-1250.6017814606932
77,27489,-1020.4609159248952
78,27846,-1211.7199669978513
79,28203,-1013.6733695808877
80,28560,-1100.1834664636401
81,28917,-1159.040333763932
82,29274,-1019.8114243155444
83,29631,-1049.9170133182727
84,29988,-1721.4331218368218
85,30345,-1174.8581016351247
86,30702,-1149.2346495402003
87,31059,-1046.67998771755
88,31416,-1107.523255502259
89,31773,-1027.5726490798083
90,32130,-1066.3386196856532
91,32487,-1036.0533854160174
92,32844,-1081.959774958092
93,33201,-1118.316806380814
94,33558,-1070.9574285635947
95,33915,-1090.153377354171
96,34272,-1008.735025661171
97,34629,-1033.7958081880743
98,34986,-1333.734143900186
99,35343,-1094.7732574784118
100,35700,-1031.4949601819571
